Number Of Loans,Average Principal,Past One Month,Past Three Months,Average Over Due Days,Low/High Risk
51,53509.8,0.0,0.0,0.0,0
35,33857.14,0.0,0.0,0.0,0
52,109807.69,0.0,0.0,0.0,0
16,15625.0,0.0,0.0,0.0,0
9,25555.56,0.0,0.0,0.0,0
59,41661.02,0.0,0.0,0.0,0
17,25205.88,0.0,0.0,0.0,0
26,36769.23,0.0,0.0,0.0,0
26,33423.08,0.0,0.0,0.0,0
9,21666.67,0.0,0.0,0.0,0
80,43362.5,0.0,0.65,0.0,0
15,11000.0,0.0,0.0,0.0,0
9,22222.22,0.0,0.0,0.0,0
16,28750.0,0.0,0.0,0.0,0
6,8666.67,0.0,0.0,0.0,0
19,25263.16,0.0,0.0,0.0,0
148,49851.35,0.09,0.18,0.0,0
29,56206.9,2.45,5.17,4.59,1
15,35666.67,0.0,0.0,0.0,0
37,60675.68,0.0,0.0,0.0,0
18,6888.89,0.0,0.0,0.0,0
128,46750.0,0.0,0.0,0.0,0
36,42638.89,0.0,0.0,0.0,0
35,35857.14,0.0,0.0,0.0,0
86,35674.42,0.0,0.0,0.0,0
63,36523.81,7.1,19.84,7.59,1
21,37380.95,0.0,0.0,0.0,0
39,24358.97,0.0,0.0,0.0,0
56,46821.43,0.0,0.0,0.0,0
36,21750.0,0.0,0.0,0.0,0
64,36531.25,0.0,0.0,0.0,0
12,20000.0,0.0,0.0,0.0,0
66,44606.06,0.0,0.02,0.0,0
14,27857.14,0.0,0.0,0.0,0
34,33676.47,0.0,0.0,0.0,0
25,55600.0,0.0,0.0,0.0,0
16,9062.5,0.0,0.0,0.0,0
51,48725.49,0.0,0.0,0.0,0
156,53339.74,0.0,0.0,0.0,0
12,27916.67,0.0,0.0,0.0,0
51,52598.04,0.0,0.04,0.31,0
14,33214.29,0.0,0.0,0.0,0
23,31304.35,0.0,0.0,0.0,0
18,13888.89,0.0,0.0,0.0,0
7,16857.14,0.0,0.0,0.0,0
5,23000.0,0.0,0.0,0.0,0
22,24227.27,0.0,0.0,0.0,0
13,31538.46,0.0,0.0,0.0,0
17,13823.53,0.0,0.0,0.0,0
28,31339.29,0.0,0.0,0.0,0
13,19615.38,0.0,0.0,0.0,0
51,26725.49,0.0,0.0,0.0,0
17,29705.88,0.0,0.0,0.0,0
62,37016.13,0.0,0.0,0.0,0
89,49977.53,0.61,0.99,0.48,0
120,60208.33,0.0,0.01,0.0,0
77,18740.26,0.0,0.0,0.0,0
115,31739.13,0.0,0.12,0.0,0
16,27500.0,0.0,0.0,0.0,0
14,35714.29,0.0,0.0,0.0,0
2,10000.0,0.0,0.0,0.0,0
2,30000.0,0.0,0.0,0.0,0
107,41635.51,1.67,4.95,0.0,0
8,23125.0,0.0,0.0,0.0,0
15,24000.0,0.0,0.0,0.0,0
82,42621.95,0.06,0.06,0.0,0
9,15222.22,0.0,0.0,0.0,0
61,47721.31,0.0,0.0,0.0,0
65,46384.62,1.85,2.17,0.0,0
21,10000.0,0.0,0.0,0.0,0
104,48971.15,0.38,0.8,0.0,0
125,33532.0,0.0,0.0,0.0,0
14,26428.57,0.0,0.0,0.0,0
32,98906.25,0.0,0.12,0.0,0
2,19000.0,0.0,0.0,0.0,0
7,27142.86,0.0,0.0,0.0,0
23,26739.13,0.0,0.0,0.0,0
72,40819.44,0.44,0.5,0.0,0
30,42500.0,0.0,0.0,0.0,0
36,28666.67,0.0,0.0,0.0,0
22,61590.91,0.0,0.0,0.0,0
207,31574.88,0.0,0.03,0.0,0
29,41206.9,0.0,0.0,0.0,0
18,26916.67,0.0,0.0,0.0,0
19,9210.53,0.0,0.0,0.0,0
1,35000.0,0.0,0.0,0.0,0
5,27000.0,0.0,0.0,0.0,0
11,10000.0,0.0,0.0,0.0,0
49,39591.84,0.0,0.0,0.0,0
6,48333.33,0.0,0.0,0.0,0
50,53200.0,0.0,0.94,0.0,0
7,27857.14,0.0,0.0,0.0,0
17,38823.53,0.0,0.0,0.0,0
9,22222.22,0.0,0.0,0.0,0
23,37260.87,0.0,0.0,0.0,0
15,26333.33,0.0,0.0,0.0,0
21,13333.33,0.0,0.0,0.0,0
29,20862.07,0.0,0.0,0.0,0
27,28148.15,0.0,0.0,0.0,0
23,32391.3,0.0,0.0,0.0,0
48,37708.33,0.0,0.0,0.0,0
61,41327.87,2.13,5.98,2.64,1
31,19838.71,0.0,0.0,0.0,0
7,20714.29,0.0,0.0,0.0,0
30,57833.33,0.0,0.0,0.0,0
35,28828.57,0.0,0.0,0.0,0
13,32692.31,0.0,0.0,0.0,0
66,27098.48,0.0,0.24,0.0,0
61,33122.95,0.0,0.03,0.0,0
8,19375.0,0.0,0.0,0.0,0
65,28953.85,0.0,0.11,0.0,0
10,29500.0,0.0,0.0,0.0,0
73,50397.26,0.0,0.04,0.0,0
58,25862.07,0.0,0.14,0.0,0
153,26614.38,0.0,0.0,0.0,0
13,24923.08,0.0,0.0,0.0,0
33,30909.09,0.0,0.0,0.0,0
23,23739.13,0.0,0.0,0.0,0
8,20625.0,0.0,0.0,0.0,0
8,16875.0,0.0,0.0,0.0,0
7,19000.0,0.0,0.0,0.0,0
20,38700.0,0.0,0.0,0.0,0
10,13300.0,0.0,0.0,0.0,0
76,40723.68,0.0,0.01,0.0,0
5,24000.0,0.0,0.0,0.0,0
13,34230.77,0.0,0.0,0.0,0
9,28888.89,0.0,0.0,0.0,0
59,39322.03,0.0,1.46,0.0,0
2,22500.0,0.0,0.0,0.0,0
50,61100.0,0.0,0.0,0.0,0
51,44509.8,0.0,0.0,0.0,0
10,15500.0,0.0,0.0,0.0,0
7,30714.29,0.0,0.0,0.0,0
80,69650.0,0.0,0.02,0.0,0
12,12833.33,0.0,0.0,0.0,0
18,28333.33,0.0,0.0,0.0,0
165,43478.79,0.0,0.2,0.0,0
150,29766.67,0.0,0.06,0.0,0
108,30694.44,0.22,1.89,1.59,0
40,61775.0,0.0,17.08,0.0,0
5,30000.0,0.0,0.0,0.0,0
13,44615.38,0.0,0.0,0.0,0
117,35982.91,0.0,0.01,0.0,0
36,36944.44,0.0,0.0,0.0,0
2,10000.0,0.0,0.0,0.0,0
8,17500.0,0.0,0.0,0.0,0
104,58461.54,0.0,0.12,0.0,0
23,41739.13,0.0,0.0,0.0,0
8,16875.0,0.0,0.0,0.0,0
12,21666.67,0.0,0.0,0.0,0
